instance,instance_path,customers,instance_type,solver,solver_parallel_jobs,status,time_sec,solution_found,evs,distance,error
C136_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C136_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.001130510001530638,True,4,553.1155530850986,
C137_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C137_C10x_n.txt,10,Clustered,ALNS,1,ok,0.2658836810005596,True,3,586.9999261593789,
C137_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C137_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0007146559983084444,True,4,622.6394181307638,
C138_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C138_C10x_n.txt,10,Clustered,ALNS,1,ok,0.3720495920024405,True,3,444.34013141206947,
C138_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C138_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.000975973998720292,True,3,503.3818994701682,
C139_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C139_C10x_n.txt,10,Clustered,ALNS,1,ok,0.23608331099967472,True,4,458.177055045409,
C139_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C139_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0011962210010096896,True,4,483.6558843481728,
C140_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C140_C10x_n.txt,10,Clustered,ALNS,1,ok,0.2619484349997947,True,3,484.7853922904179,
C140_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C140_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0009983420022763312,True,4,540.3650720857167,
C141_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C141_C10x_n.txt,10,Clustered,ALNS,1,ok,0.29971662600291893,True,6,708.6140135087747,
C141_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C141_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0026996909982699435,True,6,708.6140135087747,
C142_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C142_C10x_n.txt,10,Clustered,ALNS,1,ok,0.22656022799856146,True,3,450.63735342641144,
C142_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C142_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.002824317001795862,True,4,530.1749140237185,
C143_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C143_C10x_n.txt,10,Clustered,ALNS,1,ok,0.26197341199804214,True,3,562.6983894374612,
C143_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C143_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.003630801998951938,True,5,673.4935336662334,
C144_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C144_C10x_n.txt,10,Clustered,ALNS,1,ok,0.3842850559994986,True,3,540.7512787335559,
C144_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C144_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.002337704998353729,True,4,634.6194706948748,
C145_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C145_C10x_n.txt,10,Clustered,ALNS,1,ok,0.23785210399728385,True,4,516.8167739807639,
C145_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C145_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0008481020013277885,True,4,546.2535822711338,
C146_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C146_C10x_n.txt,10,Clustered,ALNS,1,ok,0.4243970290008292,True,2,483.3790531075146,
C146_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C146_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.001277010000194423,True,3,521.891397569329,
C147_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C147_C10x_n.txt,10,Clustered,ALNS,1,ok,0.36025475399947027,True,3,501.2880916066053,
C147_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C147_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0008440110032097436,True,3,553.2059734129463,
C148_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C148_C10x_n.txt,10,Clustered,ALNS,1,ok,0.3871845440007746,True,2,372.4806533417336,
C148_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C148_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0010818969967658632,True,4,517.0319558475558,
C149_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C149_C10x_n.txt,10,Clustered,ALNS,1,ok,0.31477266600268194,True,3,476.29898521391516,
C149_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C149_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0010475130002305377,True,4,523.3271540399985,
C150_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C150_C10x_n.txt,10,Clustered,ALNS,1,ok,0.24606117999792332,True,5,713.0984238485617,
C150_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C150_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0016252269997494295,True,5,713.0984238485617,
C201_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C201_C10x_n.txt,10,Clustered,ALNS,1,ok,0.29342388800068875,True,2,594.0653393664097,
C201_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C201_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0009659550014475826,True,4,668.0285040620438,
C202_C10x.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C202_C10x.txt,10,Clustered,ALNS,1,ok,0.45331957300004433,True,2,513.091834400204,
C202_C10x.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C202_C10x.txt,10,Clustered,ClarkeWright,1,ok,0.002975625997351017,True,4,528.8104381379633,
C203_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C203_C10x_n.txt,10,Clustered,ALNS,1,ok,0.20385951899879728,True,2,447.41860836623147,
